game_id,location_id,user_id,transaction_type,amount,currency,transaction_date,platform,session_duration,items_purchased
9,9,user_68dc0751,in-game,7.46,USD,2025-09-11 00:30:42.351832,mobile,155.0,1
7,13,user_973fc472,in-game,29.78,USD,2025-09-08 20:04:40.109621,mobile,,2
10,6,user_75682d42,in-game,7.13,USD,2025-08-20 23:14:10.514159,console,128.0,3
9,6,user_e45d0dfc,purchase,90.22,USD,2025-08-22 22:47:25.735181,desktop,,5
1,5,user_863c0dd3,in-game,20.93,USD,2025-08-28 17:44:16.244371,mobile,114.0,5
10,10,user_fa65aaa0,in-game,8.68,USD,2025-09-16 04:31:45.952456,console,33.0,1
10,10,user_1524c252,purchase,75.22,USD,2025-08-31 01:04:20.543619,mobile,118.0,4
5,14,user_aec6068a,in-game,22.67,USD,2025-09-15 23:33:59.683195,web,147.0,2
4,12,user_a1ec98ff,in-game,10.73,USD,2025-09-08 05:20:55.904483,web,,2
9,2,user_a28ec086,subscription,15.24,USD,2025-09-08 08:46:41.920295,desktop,55.0,1
5,8,user_47f3a0a8,subscription,27.71,USD,2025-09-10 08:18:08.511253,console,93.0,1
8,9,user_2d7db437,subscription,23.1,USD,2025-09-04 09:17:24.859958,desktop,13.0,1
4,2,user_e404db00,purchase,83.16,USD,2025-08-26 11:13:27.069600,mobile,113.0,2
4,8,user_7dac5919,in-game,3.45,USD,2025-08-21 20:17:25.630214,desktop,,1
2,10,user_7fda2bb9,purchase,79.22,USD,2025-09-06 16:24:39.234609,web,,4
5,9,user_415a4a91,subscription,27.25,USD,2025-08-25 08:49:18.789382,mobile,,1
6,9,user_d574f495,subscription,16.39,USD,2025-09-05 06:32:34.542109,mobile,80.0,1
1,5,user_bf0c7bb9,in-game,46.45,USD,2025-09-15 03:43:49.516792,console,27.0,5
9,10,user_c2921ae9,purchase,13.5,USD,2025-09-12 14:00:28.831237,web,165.0,1
2,15,user_128ca291,in-game,39.45,USD,2025-09-05 18:56:38.424551,web,178.0,1
9,14,user_7c1d8b60,subscription,25.28,USD,2025-09-14 22:50:10.464898,mobile,28.0,1
2,11,user_a44f4140,purchase,14.45,USD,2025-09-03 01:58:59.486404,web,,3
9,7,user_bbce08b6,in-game,8.07,USD,2025-08-25 20:45:17.553153,console,146.0,4
5,9,user_ab0ed02c,purchase,83.34,USD,2025-08-24 09:03:45.785987,console,64.0,3
2,4,user_4dce407a,in-game,39.23,USD,2025-09-06 10:11:27.664774,console,,1
5,14,user_c366278a,purchase,80.8,USD,2025-08-20 08:38:24.477179,mobile,86.0,5
8,5,user_781226c6,subscription,28.41,USD,2025-09-08 14:53:27.314690,mobile,41.0,1
10,14,user_0a23b208,in-game,46.72,USD,2025-09-06 22:25:09.661238,mobile,156.0,5
4,13,user_19cc8c26,in-game,14.2,USD,2025-09-10 16:22:41.065699,console,138.0,1
2,4,user_09a35f14,purchase,30.97,USD,2025-09-04 11:34:55.212252,mobile,,2
1,4,user_3e964b42,purchase,42.11,USD,2025-09-02 20:21:34.360286,web,,5
10,2,user_cff590d1,subscription,19.91,USD,2025-08-20 15:12:49.238223,mobile,,1
1,5,user_ee4f8457,in-game,18.83,USD,2025-09-16 04:49:06.238700,web,37.0,2
7,7,user_908babbd,subscription,16.44,USD,2025-09-04 12:16:48.439320,mobile,36.0,1
1,5,user_a3ca3a2f,purchase,67.64,USD,2025-08-26 04:55:26.843064,desktop,155.0,4
8,5,user_44d83984,subscription,27.57,USD,2025-08-27 09:09:20.654158,console,41.0,1
4,9,user_e1b378a7,in-game,35.91,USD,2025-09-05 09:08:18.287426,console,160.0,5
2,10,user_96e9c2b3,purchase,61.62,USD,2025-09-11 12:54:51.835985,console,,4
9,10,user_8779b2ab,in-game,9.13,USD,2025-08-27 22:14:43.897106,console,,2
6,6,user_a7b46e51,in-game,48.15,USD,2025-09-10 07:17:28.356615,web,22.0,3
8,14,user_0ba93f7c,in-game,23.15,USD,2025-09-17 08:23:53.858393,desktop,27.0,5
3,9,user_be6fdaef,purchase,73.08,USD,2025-09-06 13:26:46.447361,web,45.0,3
8,3,user_71aa0a3b,purchase,56.92,USD,2025-08-24 13:21:24.718758,web,26.0,2
4,9,user_5e0c47ee,purchase,76.28,USD,2025-08-31 12:06:04.486420,mobile,95.0,5
5,4,user_3c13449e,purchase,33.69,USD,2025-08-27 11:46:06.979152,web,131.0,4
5,5,user_1b45cd03,purchase,19.22,USD,2025-09-16 11:44:49.586613,web,,3
7,6,user_6935018f,in-game,35.29,USD,2025-08-26 11:48:44.816881,console,92.0,5
7,9,user_0acaea7d,subscription,13.51,USD,2025-09-15 17:42:48.787842,desktop,,1
5,5,user_dc91a0e2,subscription,25.05,USD,2025-09-07 22:47:14.536709,console,92.0,1
4,15,user_e894c5a3,purchase,68.59,USD,2025-09-09 03:26:28.109964,mobile,42.0,1
